Datum,U1,U2,U3,I1,I2,I3,P,Q,S,f,IEC,P,Q,S
"2024-11-13 18:11:27",236.63016,,,,,,,,,,,,,
"2024-11-13 18:12:29",236.55067,1.01408,0.23988,0.23977,-0.00729,50.01911,0,9,9,204,,,,
"2024-11-13 18:13:29",236.06395,,,,,,,,,,,,,
"2024-11-13 18:14:30",236.8838,1.01576,0.24062,0.2405,-0.00745,50.00558,,,,,,,,
"2024-11-13 18:15:31",236.12553,1.01345,0.2393,0.23919,-0.00738,,,,,,,,,
"2024-11-13 18:16:32",236.61855,1.01444,0.24003,0.23992,-0.0073,49.98037,0,9,9,205,,,,
"2024-11-13 18:17:33",236.46962,1.01469,0.23994,0.23983,-0.00752,49.97808,0,9,9,205,,,,
"2024-11-13 18:30:44",237.12267,1.01597,0.24091,0.2408,-0.00741,50.02802,0,9,9,206,,,,
"2024-11-20 16:28:47",235.33994,,,,,,,,,,,,,
"2024-11-20 16:30:06",236.4738,,,,,,,,,,,,,
"2024-11-20 16:33:07",233.14615,,,,,,,,,,,,,
"2024-11-20 16:33:31",233.6617,,,,,,,,,,,,,
"2024-11-20 16:33:53",233.11008,,,,,,,,,,,,,
"2024-11-20 16:34:28",233.01254,,,,,,,,,,,,,
"2024-11-20 16:35:18",233.42621,,,,,,,,,,,,,
"2024-11-20 16:36:50",234.34538,,,,,,,,,,,,,
"2024-11-20 16:38:44",234.06763,,,,,,,,,,,,,
"2024-11-20 16:42:23",235.11824,,,,,,,,,,,,,
"2024-11-20 16:42:51",234.93977,,,,,,,,,,,,,
"2024-11-20 16:43:32",234.43541,,,,,,,,,,,,,
"2024-11-20 16:43:54",234.95181,,,,,,,,,,,,,
"2024-11-20 16:44:50",235.39078,,,,,,,,,,,,,
"2024-11-20 16:45:20",233.96037,,,,,,,,,,,,,
"2024-11-20 17:02:41",232.27505,0,0,1.00131,0,0,0.23258,0.23245,-0.00787,50.03361,0,9,9,216
"2024-11-20 17:03:42",234.64655,0,0,1.00708,0,0,0.23631,0.23617,-0.00809,50.01188,0,9,9,216
"2024-11-20 17:04:42",234.1881,0,0,1.00553,0,0,0.23548,0.23535,-0.00798,50.00867,0,9,9,216
"2024-11-20 17:05:42",235.08446,0,0,1.00835,0,0,0.23705,0.23691,,,,,,
"2024-11-20 17:06:43",235.35217,0,0,1.0089,0,0,0.23745,0.23732,-0.00783,50.01865,0,9,9,217
"2024-11-20 17:07:43",232.42351,0,0,1.00181,0,0,0.23284,0.23271,-0.00788,50.02345,0,9,9,217
"2024-11-20 17:08:44",231.173,0,0,0.99857,0,0,0.23084,0.23071,-0.00784,50.02703,0,9,9,217
"2024-11-20 17:09:44",233.30739,0,0,1.00383,0,0,0.2342,0.23407,-0.0079,50.00417,0,9,9,217
"2024-11-20 17:10:44",235.19489,0,0,1.00863,0,0,0.23722,,,,,,,
"2024-11-20 17:11:45",235.38054,0,0,1.00858,0,0,0.23738,0.23725,-0.00808,49.9932,0,9,9,217
"2024-11-20 17:12:45",234.29221,0,0,1.00629,0,0,0.23576,0.23564,-0.00782,50.00129,0,9,9,218
"2024-11-20 17:13:46",235.51834,0,0,1.00959,0,0,0.23778,0.23764,-0.00798,49.98236,0,9,9,218
